Domain,YearsOfExperience,Year,Salary
devops,18,2021,206652
education,2,2021,105345
fullstack,17,2021,150930
education,11,2021,110182
ml,8,2021,180210
ml,3,2021,175655
frontend,11,2021,151247
ml,1,2021,129613
backend,3,2021,150907
ml,3,2021,154135
design,9,2021,107851
ml,17,2021,197271
education,16,2021,117872
data,18,2021,168898
education,2,2021,101075
data,0,2021,144439
devops,11,2021,174734
design,20,2021,152138
healthcare,13,2021,144217
data,6,2021,157778
backend,13,2021,147415
healthcare,1,2021,101994
education,2,2021,101878
design,16,2021,153611
business,7,2021,124733
business,16,2021,152405
healthcare,19,2021,148691
devops,6,2021,169958
education,8,2021,99878
devops,13,2021,197312
backend,13,2021,152175
education,6,2021,88517
frontend,12,2021,162966
data,17,2021,168490
design,10,2021,128145
devops,11,2021,203067
fullstack,16,2021,182184
frontend,6,2021,126580
fullstack,7,2021,140040
devops,13,2021,157721
devops,18,2021,204876
healthcare,20,2021,146139
data,2,2021,130134
business,9,2021,153693
fullstack,7,2021,148270
frontend,17,2021,137962
ml,10,2021,194779
fullstack,16,2021,194050
healthcare,0,2021,103854
data,14,2021,161142
devops,5,2021,158602
backend,13,2021,185110
devops,19,2021,200843
education,0,2021,87195
devops,12,2021,157072
devops,19,2021,210874
devops,7,2021,151043
design,15,2021,142920
ml,2,2021,167217
education,8,2021,101521
data,9,2021,159830
business,9,2021,138920
business,1,2021,96716
frontend,5,2021,128697
ml,5,2021,187025
healthcare,19,2021,125845
healthcare,8,2021,130652
business,16,2021,141358
devops,14,2021,159682
backend,11,2021,171099
ml,17,2021,226516
fullstack,20,2021,157528
ml,18,2021,178436
business,9,2021,121337
data,6,2021,160417
healthcare,4,2021,126499
frontend,9,2021,128707
fullstack,3,2021,124838
design,4,2021,124748
design,0,2021,90742
design,6,2021,121884
ml,5,2021,172149
business,11,2021,138339
data,16,2021,187736
healthcare,8,2021,123162
devops,6,2021,159987
fullstack,12,2021,138524
design,15,2021,129319
business,15,2021,142445
ml,4,2021,147047
ml,15,2021,175494
devops,20,2021,195158
education,17,2021,138529
design,14,2021,125889
devops,18,2021,217138
backend,5,2021,128043
devops,8,2021,173826
design,6,2021,102139
design,4,2021,100795
design,11,2021,114148
backend,1,2021,131035
healthcare,5,2021,133364
backend,0,2021,123191
data,9,2021,175111
frontend,12,2021,139032
frontend,5,2021,132593
education,18,2021,111267
frontend,18,2021,153723
ml,7,2021,169443
design,9,2021,137008
ml,12,2021,180322
healthcare,8,2021,115947
fullstack,6,2021,131460
data,0,2021,138058
design,2,2021,106806
frontend,5,2021,126807
frontend,19,2021,136855
devops,2,2021,133465
frontend,13,2021,135631
healthcare,3,2021,127517
ml,3,2021,168115
design,0,2021,100003
design,12,2021,117765
education,12,2021,113179
education,9,2021,102353
healthcare,6,2021,138293
business,2,2021,114617
education,2,2021,84488
ml,6,2021,184854
ml,11,2021,200391
backend,4,2021,150611
frontend,3,2021,119060
education,7,2021,94932
education,0,2021,75898
devops,19,2021,222451
frontend,1,2021,127565
healthcare,16,2021,125364
education,7,2021,103694
business,3,2021,128905
data,19,2021,201074
devops,19,2021,194696
devops,15,2021,206028
business,18,2021,154722
healthcare,0,2021,85282
healthcare,13,2021,146211
ml,8,2021,206526
healthcare,5,2021,118599
fullstack,1,2021,134129
frontend,8,2021,159298
business,3,2021,132621
frontend,7,2021,120533
business,2,2021,122852
business,4,2021,114199
fullstack,0,2021,135161
design,11,2021,136771
devops,12,2021,161119
education,9,2021,125021
data,2,2021,144911
devops,6,2021,175456
ml,3,2021,184848
healthcare,14,2021,156044
healthcare,19,2021,139046
frontend,20,2021,175864
business,12,2021,143965
design,12,2021,119834
education,12,2021,100367
